region_id,region_type,region
95309,zip,87114;NM;Albuquerque NM;Albuquerque;Bernalillo County
96007,zip,90026;CA;Los Angeles-Long Beach-Anaheim CA;Los Angeles;Los Angeles County
97792,zip,94587;CA;San Francisco-Oakland-Berkeley CA;Union City;Alameda County
72252,zip,32828;FL;Orlando-Kissimmee-Sanford FL;Orlando;Orange County
94903,zip,85326;AZ;Phoenix-Mesa-Chandler AZ;Buckeye;Maricopa County
97020,zip,92801;CA;Los Angeles-Long Beach-Anaheim CA;Anaheim;Orange County
62084,zip,11372;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Queens County
73183,zip,34711;FL;Orlando-Kissimmee-Sanford FL;Clermont;Lake County
90665,zip,75067;TX;Dallas-Fort Worth-Arlington TX;Lewisville;Denton County
96411,zip,91402;CA;Los Angeles-Long Beach-Anaheim CA;Los Angeles;Los Angeles County
62118,zip,11432;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Queens County
95811,zip,89115;NV;Las Vegas-Henderson-Paradise NV;Las Vegas;Clark County
61641,zip,10027;NY;New York-Newark-Jersey City NY-NJ-PA;New York;New York County
60499,zip,6902;CT;Bridgeport-Stamford-Norwalk CT;Stamford;Fairfield County
61812,zip,10472;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Bronx County
91685,zip,77036;TX;Houston-The Woodlands-Sugar Land TX;Houston;Harris County
65779,zip,19111;PA;Philadelphia-Camden-Wilmington PA-NJ-DE-MD;Philadelphia;Philadelphia County
92224,zip,78045;TX;Laredo TX;Laredo;Webb County
66843,zip,21234;MD;Baltimore-Columbia-Towson MD;Parkville;Baltimore County
60594,zip,7087;NJ;New York-Newark-Jersey City NY-NJ-PA;Union City;Hudson County
97991,zip,95123;CA;San Jose-Sunnyvale-Santa Clara CA;San Jose;Santa Clara County
96656,zip,92114;CA;San Diego-Chula Vista-Carlsbad CA;San Diego;San Diego County
62223,zip,11746;NY;New York-Newark-Jersey City NY-NJ-PA;South Huntington;Suffolk County
97748,zip,94541;CA;San Francisco-Oakland-Berkeley CA;Hayward;Alameda County
67730,zip,23462;VA;Virginia Beach-Norfolk-Newport News VA-NC;Virginia Beach;Virginia Beach City
90666,zip,75068;TX;Dallas-Fort Worth-Arlington TX;Little Elm;Denton County
66135,zip,20011;DC;Washington-Arlington-Alexandria DC-VA-MD-WV;Washington;District of Columbia
72247,zip,32822;FL;Orlando-Kissimmee-Sanford FL;Orlando;Orange County
72199,zip,32765;FL;Orlando-Kissimmee-Sanford FL;Oviedo;Seminole County
95817,zip,89121;NV;Las Vegas-Henderson-Paradise NV;Las Vegas;Clark County
62120,zip,11434;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Queens County
70791,zip,30004;GA;Atlanta-Sandy Springs-Alpharetta GA;Milton;Fulton County
94799,zip,85204;AZ;Phoenix-Mesa-Chandler AZ;Mesa;Maricopa County
79054,zip,48197;MI;Ann Arbor MI;Ypsilanti;Washtenaw County
70808,zip,30022;GA;Atlanta-Sandy Springs-Alpharetta GA;Johns Creek;Fulton County
72460,zip,33157;FL;Miami-Fort Lauderdale-Pompano Beach FL;Miami;Miami-Dade County
96113,zip,90262;CA;Los Angeles-Long Beach-Anaheim CA;Lynwood;Los Angeles County
76511,zip,43081;OH;Columbus OH;Westerville;Franklin County
399651,zip,84096;UT;Salt Lake City UT;Herriman;Salt Lake County
90795,zip,75243;TX;Dallas-Fort Worth-Arlington TX;Dallas;Dallas County
94384,zip,84015;UT;Ogden-Clearfield UT;Clearfield;Davis County
395229,metro,Wilmington NC
394851,metro,Merced CA
394412,metro,Bremerton WA
395065,metro,Santa Cruz CA
